region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name
BMAp,009 L2/3 IT PIR-ENTl Glut,Lgals1,38,0.0,0.0,False,False,-2.7397,2.7397,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Lhx6,38,0.3001,5.26,False,False,-8.2192,8.5193,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Lhx8,38,0.0,0.0,False,False,-7.4566,7.4566,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Lpl,38,0.6066,10.53,False,False,-4.9047,5.5113,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Lratd2,38,0.1343,2.63,False,False,-2.1172,2.2515,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Matn2,38,2.6928,47.37,False,False,-3.6947,6.3875,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Mctp2,38,0.126,2.63,False,False,-6.9918,7.1178,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Meis2,38,1.636,28.95,False,False,-9.7554,11.3914,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Mgp,38,1.9668,34.21,False,False,-1.2448,3.2116,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Moxd1,38,0.1383,2.63,False,False,-8.9295,9.0678,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Mpped1,38,1.5792,28.95,False,False,-6.8845,8.4637,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ms4a15,38,0.0,0.0,False,False,-0.0022,0.0022,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Myh8,38,0.0,0.0,False,False,-2.3278,2.3278,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Ndnf,38,0.0,0.0,False,False,-10.6447,10.6447,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Neb,38,0.1128,2.63,False,False,-1.1714,1.2842,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nfib,38,0.4114,7.89,False,False,-10.0577,10.4691,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nnat,38,5.0537,73.68,False,False,-4.7051,9.7588,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Nos1,38,0.2697,5.26,False,False,-9.4979,9.7676,,,False
