region_user,subclass,gpcr_gene,n_cells,mean_log2_expr,pct_expr,rank_mean_expr,rank_pct_expr,combined_rank_score,rank_combined,specificity_log2,rank_specificity,taxonomy_level,evidence_source
AId,004 L6 IT CTX Glut,Adora2a,3372,0.03356952592730522,0.6820877817319099,33.0,32.0,65.0,30.0,-4.153254318982363,30.0,subclass,Allen_WMB_10X_computed
AId,002 IT EP-CLA Glut,Adora2a,4037,0.027875332161784172,0.5201882586078771,34.0,35.0,69.0,32.0,-4.158948512747884,34.0,subclass,Allen_WMB_10X_computed
AId,056 Sst Chodl Gaba,Adora2a,360,0.027754392474889755,0.5555555555555556,34.0,31.0,65.0,30.0,-4.159069452434778,26.0,subclass,Allen_WMB_10X_computed
AId,051 Pvalb chandelier Gaba,Adora2a,285,0.02090604603290558,0.3508771929824561,28.0,22.0,50.0,25.0,-4.165917798876762,26.0,subclass,Allen_WMB_10X_computed
AId,007 L2/3 IT CTX Glut,Adora2a,7697,0.020588355138897896,0.4287384695335845,35.0,35.0,70.0,34.0,-4.16623548977077,28.0,subclass,Allen_WMB_10X_computed
AId,006 L4/5 IT CTX Glut,Adora2a,12177,0.020282525569200516,0.4270345733760368,32.0,33.0,65.0,23.0,-4.1665413193404675,27.0,subclass,Allen_WMB_10X_computed
AId,022 L5 ET CTX Glut,Adora2a,1134,0.01867237128317356,0.4409171075837742,33.0,31.0,64.0,31.0,-4.168151473626494,26.0,subclass,Allen_WMB_10X_computed
AId,001 CLA-EPd-CTX Car3 Glut,Adora2a,5779,0.014708088710904121,0.25956047759127876,34.0,34.0,68.0,31.0,-4.172115756198764,34.0,subclass,Allen_WMB_10X_computed
AId,052 Pvalb Gaba,Adora2a,3617,0.014043805189430714,0.24882499308819464,32.0,32.0,64.0,27.0,-4.172780039720237,26.0,subclass,Allen_WMB_10X_computed
AId,327 Oligo NN,Adora2a,2656,0.010333712212741375,0.18825301204819278,29.0,28.0,57.0,27.0,-4.176490132696927,17.0,subclass,Allen_WMB_10X_computed
AId,053 Sst Gaba,Adora2a,5983,0.006843200884759426,0.13371218452281466,34.0,35.0,69.0,32.0,-4.1799806440249085,25.0,subclass,Allen_WMB_10X_computed
AId,334 Microglia NN,Adora2a,4610,0.006508585065603256,0.08676789587852494,31.0,28.0,59.0,30.0,-4.180315259844065,17.0,subclass,Allen_WMB_10X_computed
AId,326 OPC NN,Adora2a,4367,0.005634582135826349,0.09159606136936112,34.0,30.0,64.0,33.0,-4.181189262773842,19.0,subclass,Allen_WMB_10X_computed
AId,049 Lamp5 Gaba,Adora2a,3704,0.004045854788273573,0.08099352051835854,36.0,36.0,72.0,30.0,-4.182777990121394,25.0,subclass,Allen_WMB_10X_computed
AId,046 Vip Gaba,Adora2a,3706,0.0028335577808320522,0.053966540744738264,36.0,35.0,71.0,34.0,-4.183990287128836,26.0,subclass,Allen_WMB_10X_computed
AId,032 L5 NP CTX Glut,Adora2a,3409,0.0014345556264743209,0.02933411557641537,36.0,33.0,69.0,33.0,-4.185389289283194,24.0,subclass,Allen_WMB_10X_computed
AId,044 OB Dopa-Gaba,Adora2a,46,0.0,0.0,22.0,14.0,36.0,21.0,-4.186823844909668,24.0,subclass,Allen_WMB_10X_computed
AId,050 Lamp5 Lhx6 Gaba,Adora2a,370,0.0,0.0,33.0,26.0,59.0,31.0,-4.186823844909668,25.0,subclass,Allen_WMB_10X_computed
AId,329 ABC NN,Adora2a,38,0.0,0.0,16.0,8.0,24.0,16.0,-4.186823844909668,17.0,subclass,Allen_WMB_10X_computed
AId,032 L5 NP CTX Glut,Avpr1a,3409,0.6295766234397888,10.120269873863302,13.0,13.0,26.0,11.0,0.5850514583289623,1.0,subclass,Allen_WMB_10X_computed
AId,047 Sncg Gaba,Avpr1a,1662,0.04452516511082649,0.7821901323706378,32.0,30.0,62.0,30.0,-0.5850514583289623,13.0,subclass,Allen_WMB_10X_computed
AId,050 Lamp5 Lhx6 Gaba,Avpr1a,370,0.030363701283931732,0.5405405405405406,30.0,24.0,54.0,28.0,-0.5992129221558571,10.0,subclass,Allen_WMB_10X_computed
AId,049 Lamp5 Gaba,Avpr1a,3704,0.03012051060795784,0.5129589632829373,30.0,30.0,60.0,24.0,-0.599456112831831,9.0,subclass,Allen_WMB_10X_computed
AId,335 BAM NN,Avpr1a,364,0.016333837062120438,0.27472527472527475,27.0,16.0,43.0,27.0,-0.6132427863776684,8.0,subclass,Allen_WMB_10X_computed
AId,052 Pvalb Gaba,Avpr1a,3617,0.012547989375889301,0.2211777716339508,33.0,33.0,66.0,28.0,-0.6170286340638995,10.0,subclass,Allen_WMB_10X_computed
AId,319 Astro-TE NN,Avpr1a,8535,0.00828368216753006,0.11716461628588166,32.0,30.0,62.0,32.0,-0.6212929412722588,9.0,subclass,Allen_WMB_10X_computed
AId,006 L4/5 IT CTX Glut,Avpr1a,12177,0.0075395358726382256,0.14781966001478197,37.0,37.0,74.0,27.0,-0.6220370875671506,11.0,subclass,Allen_WMB_10X_computed
AId,009 L2/3 IT PIR-ENTl Glut,Avpr1a,816,0.0051458715461194515,0.12254901960784313,38.0,32.0,70.0,38.0,-0.6244307518936694,8.0,subclass,Allen_WMB_10X_computed
