gene,block,panel
C1ql1,18_expanded_BMAp,C246_Adrb1
C1ql2,18_expanded_BMAp,C246_Adrb1
Rbms3,18_expanded_BMAp,C246_Adrb1
Pnoc,18_expanded_BMAp,C246_Adrb1
Maf,19_expanded_L5IT_separator,C246_Adrb1
Ptpru,19_expanded_L5IT_separator,C246_Adrb1
Rai14,19_expanded_L5IT_separator,C246_Adrb1
Sema5a,19_expanded_L5IT_separator,C246_Adrb1
Sema5b,19_expanded_L5IT_separator,C246_Adrb1
Thsd7b,19_expanded_L5IT_separator,C246_Adrb1
Adrb1,14_Jesse_ORB_GPCR,C246_Adrb1
