gene,block,panel
Slc5a7,20_Allen_supertype_discovery,d301
Sntb1,20_Allen_supertype_discovery,d301
Spon1,20_Allen_supertype_discovery,d301
Stac,20_Allen_supertype_discovery,d301
Syndig1,20_Allen_supertype_discovery,d301
Tafa1,20_Allen_supertype_discovery,d301
Trhde,20_Allen_supertype_discovery,d301
Trpc3,20_Allen_supertype_discovery,d301
Trpm3,20_Allen_supertype_discovery,d301
Vegfc,20_Allen_supertype_discovery,d301
Zfp804b,20_Allen_supertype_discovery,d301
