region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name,cell_type_label,role,n_anchors_passing,uniqueness,rank_key,rank_within_subclass,roi_clean,contaminating_subclass_in_roi
LM,138 PH Pitx2 Glut,Nrgn,1795,5.2772,71.81,False,True,-3.2586,8.5358,1.3226,3.9546,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,21.3226,2,False,"096 PVHd Gsc Gaba in same dissection is higher (8.54, 88%)"
LM,138 PH Pitx2 Glut,Pou3f1,1795,1.6912,26.74,False,True,-5.0013,6.6925,1.1608,0.5304,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,21.160800000000002,3,False,"060 OT D3 Folh1 Gaba in same dissection is higher (6.69, 87%)"
LM,138 PH Pitx2 Glut,Calb2,1795,7.6921,89.92,False,True,-1.5483,9.2404,0.5467,7.1454,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,20.5467,4,False,"149 PVT-PT Ntrk1 Glut in same dissection is higher (9.24, 98%)"
LM,141 PH-SUM Foxa1 Glut,Tcf4,2921,9.188,95.28,False,True,-1.4685,10.6565,2.5549,6.6331,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,22.5549,1,False,"055 STR Lhx8 Gaba in same dissection is higher (10.66, 100%)"
LM,141 PH-SUM Foxa1 Glut,Zfp804b,2921,7.6782,80.04,False,True,-2.126,9.8042,2.4131,5.2651,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,22.4131,2,False,"074 MEA-BST Lhx6 Sp9 Gaba in same dissection is higher (9.80, 92%)"
LM,141 PH-SUM Foxa1 Glut,Barhl2,2921,2.2497,37.18,False,True,-1.9186,4.1683,1.7394,0.5103,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,21.7394,3,False,"092 TMv-PMv Tbx3 Hist-Gaba in same dissection is higher (4.17, 68%)"
LM,141 PH-SUM Foxa1 Glut,Ntsr1,2921,2.0914,33.17,False,True,-2.0134,4.1048,1.4881,0.6033,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,21.4881,4,False,"059 GPe-SI Sox6 Cyp26b1 Gaba in same dissection is higher (4.10, 67%)"
LM,141 PH-SUM Foxa1 Glut,Slc6a1,2921,7.4204,91.95,False,True,-2.5233,9.9437,1.431,5.9894,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,21.431,5,False,"213 SCsg Gabrr2 Gaba in same dissection is higher (9.94, 100%)"
LM,141 PH-SUM Foxa1 Glut,Nfib,2921,3.48,42.93,False,True,-5.4139,8.8939,1.3075,2.1725,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,21.3075,6,False,"064 STR-PAL Chst9 Gaba in same dissection is higher (8.89, 96%)"
LM,141 PH-SUM Foxa1 Glut,Bcl11b,2921,2.063,29.65,False,True,-7.5243,9.5873,1.1081,0.9549,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,21.1081,7,False,"060 OT D3 Folh1 Gaba in same dissection is higher (9.59, 100%)"
LM,141 PH-SUM Foxa1 Glut,Foxp2,2921,3.5573,44.88,False,True,-7.2802,10.8375,1.0728,2.4845,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,21.0728,8,False,"064 STR-PAL Chst9 Gaba in same dissection is higher (10.84, 100%)"
LM,141 PH-SUM Foxa1 Glut,Necab1,2921,3.6961,49.06,False,True,-4.9241,8.6202,0.9252,2.7709,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,20.9252,9,False,"149 PVT-PT Ntrk1 Glut in same dissection is higher (8.62, 96%)"
LM,141 PH-SUM Foxa1 Glut,Nr4a2,2921,6.0303,76.93,False,True,-1.0243,7.0546,0.8585,5.1718,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,20.8585,10,False,"215 SNc-VTA-RAmb Foxa1 Dopa in same dissection is higher (7.05, 90%)"
LM,141 PH-SUM Foxa1 Glut,Mpped1,2921,3.5323,51.8,False,True,-3.8977,7.43,0.8398,2.6925,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,20.8398,11,False,"056 Sst Chodl Gaba in same dissection is higher (7.43, 96%)"
LM,141 PH-SUM Foxa1 Glut,Oprm1,2921,5.1031,71.59,False,True,-2.6326,7.7357,0.786,4.3171,False,Lateral mammillary excitatory,target,1,UNIQUE_to_subclass,20.786,12,False,"064 STR-PAL Chst9 Gaba in same dissection is higher (7.74, 94%)"
