region_user,subclass_A_positive,subclass_B_negative,same_cell_type_label,separator_gene,mean_log2_A,mean_log2_B,pct_A,pct_B,log2_gap
AId,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,False,Matn2,4.224,0.214,65.6,3.9,4.011
AId,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,False,Tbr1,4.425,0.432,72.0,7.2,3.993
AId,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,False,Ppp1r1b,4.149,0.461,66.2,7.8,3.688
AId,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,False,Otof,3.675,0.111,60.0,1.9,3.565
AId,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,False,Rgs14,3.076,0.061,54.0,1.0,3.015
AId,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,False,Pou3f1,2.666,0.063,43.9,1.1,2.603
AId,007 L2/3 IT CTX Glut,052 Pvalb Gaba,False,Meis2,8.763,0.45,97.8,7.8,8.313
AId,007 L2/3 IT CTX Glut,052 Pvalb Gaba,False,Satb2,6.989,0.345,94.4,5.8,6.644
AId,007 L2/3 IT CTX Glut,052 Pvalb Gaba,False,Lamp5,6.56,0.297,88.4,5.0,6.263
AId,007 L2/3 IT CTX Glut,052 Pvalb Gaba,False,Wfs1,6.57,0.689,88.4,12.3,5.881
AId,007 L2/3 IT CTX Glut,052 Pvalb Gaba,False,Gpr88,4.769,0.127,73.9,2.2,4.643
AId,007 L2/3 IT CTX Glut,052 Pvalb Gaba,False,Tbr1,4.425,0.445,72.0,7.5,3.98
AId,007 L2/3 IT CTX Glut,052 Pvalb Gaba,False,Ppp1r1b,4.149,0.218,66.2,3.6,3.932
AId,007 L2/3 IT CTX Glut,052 Pvalb Gaba,False,Otof,3.675,0.109,60.0,1.9,3.566
AId,007 L2/3 IT CTX Glut,052 Pvalb Gaba,False,Matn2,4.224,0.783,65.6,13.6,3.442
AId,007 L2/3 IT CTX Glut,052 Pvalb Gaba,False,Rgs14,3.076,0.046,54.0,0.9,3.029
AId,007 L2/3 IT CTX Glut,052 Pvalb Gaba,False,Pou3f1,2.666,0.07,43.9,1.2,2.596
AId,007 L2/3 IT CTX Glut,052 Pvalb Gaba,False,Crym,2.589,0.187,44.5,3.3,2.402
AId,007 L2/3 IT CTX Glut,053 Sst Gaba,False,Meis2,8.763,0.452,97.8,7.8,8.311
AId,007 L2/3 IT CTX Glut,053 Sst Gaba,False,Nfib,8.251,0.714,97.9,12.2,7.536
AId,007 L2/3 IT CTX Glut,053 Sst Gaba,False,Satb2,6.989,0.405,94.4,7.0,6.584
AId,007 L2/3 IT CTX Glut,053 Sst Gaba,False,Lamp5,6.56,0.299,88.4,5.1,6.261
AId,007 L2/3 IT CTX Glut,053 Sst Gaba,False,Wfs1,6.57,0.484,88.4,8.6,6.086
AId,007 L2/3 IT CTX Glut,053 Sst Gaba,False,Gpr88,4.769,0.243,73.9,4.1,4.527
AId,007 L2/3 IT CTX Glut,053 Sst Gaba,False,Ppp1r1b,4.149,0.142,66.2,2.4,4.007
AId,007 L2/3 IT CTX Glut,053 Sst Gaba,False,Tbr1,4.425,0.488,72.0,8.5,3.937
AId,007 L2/3 IT CTX Glut,053 Sst Gaba,False,Otof,3.675,0.095,60.0,1.7,3.58
AId,007 L2/3 IT CTX Glut,053 Sst Gaba,False,Rgs14,3.076,0.107,54.0,2.0,2.969
AId,007 L2/3 IT CTX Glut,053 Sst Gaba,False,Pou3f1,2.666,0.167,43.9,3.0,2.499
AId,007 L2/3 IT CTX Glut,053 Sst Gaba,False,Crym,2.589,0.201,44.5,3.5,2.389
AId,022 L5 ET CTX Glut,006 L4/5 IT CTX Glut,False,Bcl11b,8.918,0.703,99.7,13.2,8.215
AId,022 L5 ET CTX Glut,006 L4/5 IT CTX Glut,False,Reln,4.96,0.558,77.2,10.1,4.402
AId,022 L5 ET CTX Glut,006 L4/5 IT CTX Glut,False,Lratd2,3.244,0.057,59.0,1.1,3.187
AId,022 L5 ET CTX Glut,006 L4/5 IT CTX Glut,False,Pcdh8,3.134,0.29,57.3,5.6,2.844
AId,022 L5 ET CTX Glut,006 L4/5 IT CTX Glut,False,Npnt,2.438,0.496,40.2,8.3,1.941
AId,022 L5 ET CTX Glut,006 L4/5 IT CTX Glut,False,Ndnf,1.764,0.043,26.7,0.8,1.721
AId,022 L5 ET CTX Glut,006 L4/5 IT CTX Glut,False,Dock10,2.318,0.748,41.3,13.6,1.571
AId,022 L5 ET CTX Glut,007 L2/3 IT CTX Glut,False,Fezf2,7.458,0.081,97.2,1.6,7.378
AId,022 L5 ET CTX Glut,007 L2/3 IT CTX Glut,False,Lratd2,3.244,0.09,59.0,1.8,3.154
AId,022 L5 ET CTX Glut,007 L2/3 IT CTX Glut,False,Ndnf,1.764,0.07,26.7,1.4,1.694
AId,022 L5 ET CTX Glut,007 L2/3 IT CTX Glut,False,Tshz2,1.717,0.363,25.8,6.7,1.353
AId,022 L5 ET CTX Glut,029 L6b CTX Glut,True,Pou3f1,7.601,0.063,97.7,1.1,7.538
AId,022 L5 ET CTX Glut,029 L6b CTX Glut,True,Lamp5,6.371,0.345,91.6,6.4,6.026
AId,022 L5 ET CTX Glut,029 L6b CTX Glut,True,Vat1l,6.149,0.752,90.1,13.9,5.397
AId,022 L5 ET CTX Glut,029 L6b CTX Glut,True,Adcyap1,4.521,0.263,71.5,4.8,4.258
AId,022 L5 ET CTX Glut,029 L6b CTX Glut,True,Lratd2,3.244,0.098,59.0,1.8,3.145
AId,022 L5 ET CTX Glut,029 L6b CTX Glut,True,Pcdh8,3.134,0.221,57.3,4.6,2.913
AId,022 L5 ET CTX Glut,029 L6b CTX Glut,True,Rorb,2.979,0.476,52.0,8.2,2.503
AId,022 L5 ET CTX Glut,029 L6b CTX Glut,True,Npnt,2.438,0.108,40.2,2.0,2.329
AId,022 L5 ET CTX Glut,029 L6b CTX Glut,True,Matn2,2.512,0.369,46.9,7.3,2.143
AId,022 L5 ET CTX Glut,029 L6b CTX Glut,True,Ndnf,1.764,0.063,26.7,1.1,1.702
AId,022 L5 ET CTX Glut,029 L6b CTX Glut,True,Dock10,2.318,0.687,41.3,12.3,1.631
AId,022 L5 ET CTX Glut,030 L6 CT CTX Glut,True,Pou3f1,7.601,0.058,97.7,1.1,7.543
AId,022 L5 ET CTX Glut,030 L6 CT CTX Glut,True,Vat1l,6.149,0.414,90.1,7.4,5.735
AId,022 L5 ET CTX Glut,030 L6 CT CTX Glut,True,Reln,4.96,0.346,77.2,6.1,4.614
AId,022 L5 ET CTX Glut,030 L6 CT CTX Glut,True,Adcyap1,4.521,0.099,71.5,1.7,4.422
AId,022 L5 ET CTX Glut,030 L6 CT CTX Glut,True,Lratd2,3.244,0.062,59.0,1.2,3.182
AId,022 L5 ET CTX Glut,030 L6 CT CTX Glut,True,Pcdh8,3.134,0.171,57.3,3.1,2.963
AId,022 L5 ET CTX Glut,030 L6 CT CTX Glut,True,Matn2,2.512,0.697,46.9,12.6,1.815
AId,022 L5 ET CTX Glut,030 L6 CT CTX Glut,True,Npnt,2.438,0.643,40.2,11.4,1.795
AId,022 L5 ET CTX Glut,030 L6 CT CTX Glut,True,Ndnf,1.764,0.052,26.7,0.9,1.712
AId,022 L5 ET CTX Glut,030 L6 CT CTX Glut,True,Tshz2,1.717,0.464,25.8,7.7,1.253
AId,022 L5 ET CTX Glut,032 L5 NP CTX Glut,True,Pou3f1,7.601,0.065,97.7,1.1,7.535
AId,022 L5 ET CTX Glut,032 L5 NP CTX Glut,True,Lamp5,6.371,0.362,91.6,5.8,6.009
AId,022 L5 ET CTX Glut,032 L5 NP CTX Glut,True,Vat1l,6.149,0.631,90.1,10.2,5.518
AId,022 L5 ET CTX Glut,032 L5 NP CTX Glut,True,Reln,4.96,0.272,77.2,4.3,4.688
AId,022 L5 ET CTX Glut,032 L5 NP CTX Glut,True,Adcyap1,4.521,0.068,71.5,1.1,4.452
AId,022 L5 ET CTX Glut,032 L5 NP CTX Glut,True,Zfp804b,4.643,0.375,65.8,6.0,4.268
AId,022 L5 ET CTX Glut,032 L5 NP CTX Glut,True,Lratd2,3.244,0.017,59.0,0.3,3.226
AId,022 L5 ET CTX Glut,032 L5 NP CTX Glut,True,Wfs1,3.519,0.493,63.4,8.1,3.026
AId,022 L5 ET CTX Glut,032 L5 NP CTX Glut,True,Ppp1r1b,3.854,0.854,66.5,13.7,3.001
AId,022 L5 ET CTX Glut,032 L5 NP CTX Glut,True,Pcdh8,3.134,0.231,57.3,3.8,2.903
AId,022 L5 ET CTX Glut,032 L5 NP CTX Glut,True,Rgs14,2.799,0.375,54.4,6.4,2.424
AId,022 L5 ET CTX Glut,032 L5 NP CTX Glut,True,Npnt,2.438,0.102,40.2,1.6,2.336
AId,022 L5 ET CTX Glut,046 Vip Gaba,False,Meis2,8.524,0.488,99.7,7.5,8.036
AId,022 L5 ET CTX Glut,046 Vip Gaba,False,Pou3f1,7.601,0.034,97.7,0.5,7.567
AId,022 L5 ET CTX Glut,046 Vip Gaba,False,Mpped1,8.378,0.831,99.0,12.7,7.548
AId,022 L5 ET CTX Glut,046 Vip Gaba,False,Fezf2,7.458,0.053,97.2,0.8,7.406
AId,022 L5 ET CTX Glut,046 Vip Gaba,False,Spon1,7.266,0.27,95.8,4.2,6.996
AId,022 L5 ET CTX Glut,046 Vip Gaba,False,Lamp5,6.371,0.264,91.6,4.0,6.107
AId,022 L5 ET CTX Glut,046 Vip Gaba,False,Satb2,6.388,0.285,93.5,4.6,6.102
AId,022 L5 ET CTX Glut,046 Vip Gaba,False,Crym,6.127,0.138,90.0,2.2,5.989
AId,022 L5 ET CTX Glut,046 Vip Gaba,False,Etv1,6.796,1.012,91.5,14.7,5.784
AId,022 L5 ET CTX Glut,046 Vip Gaba,False,Adcyap1,4.521,0.036,71.5,0.5,4.485
AId,022 L5 ET CTX Glut,046 Vip Gaba,False,Tbr1,4.709,0.376,79.9,5.8,4.333
AId,022 L5 ET CTX Glut,046 Vip Gaba,False,Ppp1r1b,3.854,0.165,66.5,2.6,3.689
AId,022 L5 ET CTX Glut,049 Lamp5 Gaba,False,Meis2,8.524,0.574,99.7,9.5,7.95
AId,022 L5 ET CTX Glut,049 Lamp5 Gaba,False,Pou3f1,7.601,0.063,97.7,1.1,7.537
AId,022 L5 ET CTX Glut,049 Lamp5 Gaba,False,Fezf2,7.458,0.104,97.2,1.8,7.354
AId,022 L5 ET CTX Glut,049 Lamp5 Gaba,False,Spon1,7.266,0.324,95.8,5.6,6.942
AId,022 L5 ET CTX Glut,049 Lamp5 Gaba,False,Etv1,6.796,0.548,91.5,9.4,6.247
AId,022 L5 ET CTX Glut,049 Lamp5 Gaba,False,Satb2,6.388,0.346,93.5,5.8,6.041
AId,022 L5 ET CTX Glut,049 Lamp5 Gaba,False,Crym,6.127,0.152,90.0,2.6,5.975
AId,022 L5 ET CTX Glut,049 Lamp5 Gaba,False,Adcyap1,4.521,0.217,71.5,3.5,4.303
AId,022 L5 ET CTX Glut,049 Lamp5 Gaba,False,Tbr1,4.709,0.432,79.9,7.2,4.277
AId,022 L5 ET CTX Glut,049 Lamp5 Gaba,False,Ppp1r1b,3.854,0.461,66.5,7.8,3.393
AId,022 L5 ET CTX Glut,049 Lamp5 Gaba,False,Lratd2,3.244,0.056,59.0,1.0,3.188
AId,022 L5 ET CTX Glut,049 Lamp5 Gaba,False,Wfs1,3.519,0.377,63.4,6.5,3.142
AId,022 L5 ET CTX Glut,052 Pvalb Gaba,False,Meis2,8.524,0.45,99.7,7.8,8.074
AId,022 L5 ET CTX Glut,052 Pvalb Gaba,False,Pou3f1,7.601,0.07,97.7,1.2,7.53
AId,022 L5 ET CTX Glut,052 Pvalb Gaba,False,Fezf2,7.458,0.063,97.2,1.1,7.396
AId,022 L5 ET CTX Glut,052 Pvalb Gaba,False,Spon1,7.266,1.046,95.8,14.8,6.219
AId,022 L5 ET CTX Glut,052 Pvalb Gaba,False,Lamp5,6.371,0.297,91.6,5.0,6.074
AId,022 L5 ET CTX Glut,052 Pvalb Gaba,False,Satb2,6.388,0.345,93.5,5.8,6.042
AId,022 L5 ET CTX Glut,052 Pvalb Gaba,False,Crym,6.127,0.187,90.0,3.3,5.94
AId,022 L5 ET CTX Glut,052 Pvalb Gaba,False,Adcyap1,4.521,0.056,71.5,0.9,4.464
AId,022 L5 ET CTX Glut,052 Pvalb Gaba,False,Tbr1,4.709,0.445,79.9,7.5,4.264
AId,022 L5 ET CTX Glut,052 Pvalb Gaba,False,Ppp1r1b,3.854,0.218,66.5,3.6,3.636
AId,022 L5 ET CTX Glut,052 Pvalb Gaba,False,Lratd2,3.244,0.318,59.0,5.6,2.925
AId,022 L5 ET CTX Glut,052 Pvalb Gaba,False,Wfs1,3.519,0.689,63.4,12.3,2.83
AId,022 L5 ET CTX Glut,053 Sst Gaba,False,Nfib,9.5,0.714,100.0,12.2,8.785
AId,022 L5 ET CTX Glut,053 Sst Gaba,False,Meis2,8.524,0.452,99.7,7.8,8.072
AId,022 L5 ET CTX Glut,053 Sst Gaba,False,Pou3f1,7.601,0.167,97.7,3.0,7.433
AId,022 L5 ET CTX Glut,053 Sst Gaba,False,Fezf2,7.458,0.072,97.2,1.3,7.386
AId,022 L5 ET CTX Glut,053 Sst Gaba,False,Lamp5,6.371,0.299,91.6,5.1,6.072
AId,022 L5 ET CTX Glut,053 Sst Gaba,False,Satb2,6.388,0.405,93.5,7.0,5.982
AId,022 L5 ET CTX Glut,053 Sst Gaba,False,Crym,6.127,0.201,90.0,3.5,5.926
AId,022 L5 ET CTX Glut,053 Sst Gaba,False,Adcyap1,4.521,0.052,71.5,0.9,4.468
AId,022 L5 ET CTX Glut,053 Sst Gaba,False,Tbr1,4.709,0.488,79.9,8.5,4.221
AId,022 L5 ET CTX Glut,053 Sst Gaba,False,Ppp1r1b,3.854,0.142,66.5,2.4,3.712
AId,022 L5 ET CTX Glut,053 Sst Gaba,False,Wfs1,3.519,0.484,63.4,8.6,3.035
AId,022 L5 ET CTX Glut,053 Sst Gaba,False,Lratd2,3.244,0.259,59.0,4.5,2.985
AId,029 L6b CTX Glut,006 L4/5 IT CTX Glut,False,Sema5a,7.233,0.835,92.3,14.8,6.398
AId,029 L6b CTX Glut,006 L4/5 IT CTX Glut,False,Bcl11b,6.833,0.703,91.1,13.2,6.13
AId,029 L6b CTX Glut,006 L4/5 IT CTX Glut,False,Ccn2,5.978,0.031,72.4,0.7,5.947
AId,029 L6b CTX Glut,006 L4/5 IT CTX Glut,False,Cplx3,5.973,0.138,67.7,2.5,5.835
AId,029 L6b CTX Glut,006 L4/5 IT CTX Glut,False,Sulf1,6.053,0.235,82.9,4.4,5.819
AId,029 L6b CTX Glut,006 L4/5 IT CTX Glut,False,Rai14,6.077,0.661,83.6,12.0,5.417
AId,029 L6b CTX Glut,006 L4/5 IT CTX Glut,False,Nxph4,5.12,0.052,68.3,1.1,5.068
AId,029 L6b CTX Glut,006 L4/5 IT CTX Glut,False,Sema5b,5.482,0.66,76.5,11.7,4.823
AId,029 L6b CTX Glut,006 L4/5 IT CTX Glut,False,Drd1,4.696,0.207,73.8,3.8,4.488
AId,029 L6b CTX Glut,006 L4/5 IT CTX Glut,False,Foxp2,4.556,0.357,62.4,6.8,4.199
AId,029 L6b CTX Glut,006 L4/5 IT CTX Glut,False,Syt6,2.976,0.09,45.6,1.7,2.886
AId,029 L6b CTX Glut,006 L4/5 IT CTX Glut,False,Sla,2.457,0.072,39.9,1.4,2.385
AId,029 L6b CTX Glut,007 L2/3 IT CTX Glut,False,Sema5a,7.233,0.424,92.3,7.8,6.808
