gene,priority,block,primary_category,regions,is_transgene,in_base_panel,needs_addon_slot
Slc30a3,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Sox6,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Sp9,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Spon1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Tcf7l2,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Tnnt1,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Trhr,1,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Tshz2,1,1_cell_type_unique_marker,cell_type_combination_marker,BMAp+ORBm,False,False,True
Whrn,1,1_cell_type_unique_marker,cell_type_combination_marker,BMAp+ORBm,False,False,True
Zic1,1,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
iCre,1,4_IEG_reporter_backbone,reporter_transgene,BMAp+ORBm,True,False,True
tdTomato,1,4_IEG_reporter_backbone,reporter_transgene,BMAp+ORBm,True,False,True
Bcl11b,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,True,False
Bdnf,2,4_IEG_reporter_backbone,IEG_delayed,BMAp+ORBm,False,True,False
Calb1,2,3_GPCR_broad_or_shared_marker,cell_type_shared_marker,ORBm,False,True,False
Calb2,2,3_GPCR_broad_or_shared_marker,cell_type_shared_marker,BMAp+ORBm,False,True,False
Cdh13,2,3_GPCR_broad_or_shared_marker,cell_type_shared_marker,ORBm,False,True,False
Chrm2,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,True,False
Dcn,2,3_GPCR_broad_or_shared_marker,cell_type_shared_marker,BMAp,False,True,False
Deptor,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,True,False
Fezf2,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,True,False
Htr1f,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,True,False
Meis2,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,True,False
Necab1,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,True,False
Npnt,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,True,False
Ppp1r1b,2,3_GPCR_broad_or_shared_marker,cell_type_shared_marker,BMAp+ORBm,False,True,False
Satb2,2,3_GPCR_broad_or_shared_marker,cell_type_shared_marker,ORBm,False,True,False
Sema5b,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,True,False
Sncg,2,3_GPCR_broad_or_shared_marker,cell_type_shared_marker,ORBm,False,True,False
Syt6,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,True,False
Tacr1,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,True,False
Tle4,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,True,False
Adarb2,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Adcyap1r1,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,False,True
Amigo2,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Cck,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Cckbr,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,False,True
Cd36,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Chst9,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Cnih3,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Cnr1,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Crhr1,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,False,True
Crym,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Cux1,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Dlx2,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Drd1,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
EGFP,2,4_IEG_reporter_backbone,reporter_transgene,BMAp+ORBm,True,False,True
Egr1,2,4_IEG_reporter_backbone,IEG_immediate,BMAp+ORBm,False,False,True
Fosb,2,4_IEG_reporter_backbone,IEG_immediate,BMAp+ORBm,False,False,True
Fst,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Gabbr1,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,False,True
Gabbr2,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,False,True
Gpr101,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Grm1,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,False,True
Grm5,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,False,True
Htr1a,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,False,True
Htr1b,2,3_GPCR_broad_or_shared_marker,GPCR_intermediate,BMAp+ORBm,False,False,True
Htr2a,2,3_GPCR_broad_or_shared_marker,GPCR_intermediate,BMAp+ORBm,False,False,True
Htr2c,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,False,True
Htr3a,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Junb,2,4_IEG_reporter_backbone,IEG_immediate,BMAp+ORBm,False,False,True
Maf,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Map3k15,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Mpped1,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Ndnf,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Nhlh2,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Npy,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Npy1r,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,False,True
Nr4a1,2,4_IEG_reporter_backbone,IEG_immediate,BMAp+ORBm,False,False,True
Nr4a2,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Nrgn,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Oprd1,2,3_GPCR_broad_or_shared_marker,GPCR_intermediate,BMAp+ORBm,False,False,True
Oprm1,2,3_GPCR_broad_or_shared_marker,GPCR_universal,BMAp+ORBm,False,False,True
Otof,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Otp,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Pax6,2,3_GPCR_broad_or_shared_marker,cell_type_shared_marker,BMAp,False,False,True
Pcdh8,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp,False,False,True
Pde1c,2,1_cell_type_unique_marker,cell_type_unique_marker,BMAp+ORBm,False,False,True
Pnoc,2,1_cell_type_unique_marker,cell_type_unique_marker,ORBm,False,False,True
Scnn1a,2,3_GPCR_broad_or_shared_marker,cell_type_shared_marker,ORBm,False,False,True
