gene,best_subclass,best_subclass_pct,gap_vs_median_subclass_pp,n_subclasses_ge50,n_subclasses,best_anchor,best_anchor_pct,n_anchors_ge50,n_anchors,pct_all_cells
Chrd,022 L5 ET CTX Glut,48.6,39.0,0,75,022 L5 ET CTX Glut,48.6,0,20,11.4
Chrm1,026 NLOT Rho Glut,98.3,42.8,42,75,007 L2/3 IT CTX Glut,92.0,16,20,55.0
Chrm2,058 PAL-STR Gaba-Chol,98.1,65.8,26,75,032 L5 NP CTX Glut,90.7,6,20,26.6
Chrm3,001 CLA-EPd-CTX Car3 Glut,99.7,28.5,48,75,007 L2/3 IT CTX Glut,97.9,19,20,56.3
Cldn5,333 Endo NN,99.1,98.6,1,75,005 L5 IT CTX Glut,0.9,0,20,2.6
Clmn,319 Astro-TE NN,91.8,53.4,31,75,074 MEA-BST Lhx6 Sp9 Gaba,86.6,8,20,48.0
Cnih3,026 NLOT Rho Glut,97.6,48.6,34,75,006 L4/5 IT CTX Glut,94.2,13,20,48.0
Cnr1,026 NLOT Rho Glut,100.0,36.2,40,75,046 Vip Gaba,98.5,13,20,43.1
Cntn6,133 PVH-SO-PVa Otp Glut,98.5,35.9,42,75,120 MEA Otp Foxp2 Glut,93.9,16,20,44.3
Cntnap4,055 STR Lhx8 Gaba,100.0,44.6,38,75,052 Pvalb Gaba,95.9,11,20,41.1
Cntnap5b,051 Pvalb chandelier Gaba,100.0,32.9,51,75,121 MEA-BST Otp Zic2 Glut,94.8,15,20,49.5
Cobll1,332 SMC NN,93.2,89.7,9,75,073 MEA-BST Sox6 Gaba,11.8,0,20,15.8
Coch,001 CLA-EPd-CTX Car3 Glut,63.4,54.6,3,75,006 L4/5 IT CTX Glut,56.7,1,20,12.1
Col19a1,048 RHP-COA Ndnf Gaba,94.4,84.4,16,75,053 Sst Gaba,78.1,7,20,19.3
Col1a1,330 VLMC NN,95.0,94.7,1,75,012 MEA Slc17a7 Glut,9.6,0,20,1.6
Col23a1,012 MEA Slc17a7 Glut,80.2,68.2,5,75,012 MEA Slc17a7 Glut,80.2,1,20,19.1
Col6a1,022 L5 ET CTX Glut,70.9,62.8,10,75,022 L5 ET CTX Glut,70.9,3,20,20.0
Cort,052 Pvalb Gaba,62.0,60.9,2,75,052 Pvalb Gaba,62.0,1,20,4.6
Cplx3,049 Lamp5 Gaba,89.3,88.5,3,75,049 Lamp5 Gaba,89.1,2,20,3.8
Cpne4,001 CLA-EPd-CTX Car3 Glut,100.0,43.7,45,75,032 L5 NP CTX Glut,96.9,16,20,46.1
Cpne6,026 NLOT Rho Glut,92.3,35.7,41,75,012 MEA Slc17a7 Glut,89.9,12,20,41.7
Cpne8,050 Lamp5 Lhx6 Gaba,89.6,43.9,36,75,074 MEA-BST Lhx6 Sp9 Gaba,88.5,12,20,40.9
Crem,005 L5 IT CTX Glut,64.1,26.5,14,75,005 L5 IT CTX Glut,64.1,5,20,37.1
Crh,046 Vip Gaba,56.1,54.1,1,75,046 Vip Gaba,56.5,1,20,3.9
Crhr1,006 L4/5 IT CTX Glut,65.5,48.4,3,75,006 L4/5 IT CTX Glut,65.5,3,20,20.6
Cspg4,326 OPC NN,97.3,96.6,3,75,005 L5 IT CTX Glut,2.2,0,20,6.8
Ctxn3,058 PAL-STR Gaba-Chol,32.5,31.8,0,75,120 MEA Otp Foxp2 Glut,15.8,0,20,2.5
Cux2,007 L2/3 IT CTX Glut,94.7,55.5,30,75,007 L2/3 IT CTX Glut,94.7,5,20,34.7
Cwh43,001 CLA-EPd-CTX Car3 Glut,69.0,68.1,2,75,004 L6 IT CTX Glut,45.0,0,20,8.5
Cx3cr1,334 Microglia NN,100.0,88.4,1,75,119 SI-MA-LPO-LHA Skor1 Glut,15.0,0,20,14.0
Cyp1b1,330 VLMC NN,85.4,85.4,1,75,046 Vip Gaba,2.8,0,20,0.5
Dcn,330 VLMC NN,99.3,99.0,1,75,004 L6 IT CTX Glut,6.8,0,20,1.1
Deptor,059 GPe-SI Sox6 Cyp26b1 Gaba,93.0,66.3,9,75,006 L4/5 IT CTX Glut,54.7,2,20,25.6
Dkk3,004 L6 IT CTX Glut,98.4,79.8,17,75,004 L6 IT CTX Glut,98.4,9,20,44.8
Dlg4,013 COAp Grxcr2 Glut,100.0,3.1,64,75,022 L5 ET CTX Glut,99.2,20,20,78.4
Dlx1,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,94.1,89.5,18,75,046 Vip Gaba,80.7,4,20,15.6
Dnah5,013 COAp Grxcr2 Glut,58.3,52.0,1,75,012 MEA Slc17a7 Glut,48.4,0,20,13.5
Dner,013 COAp Grxcr2 Glut,100.0,8.2,59,75,049 Lamp5 Gaba,99.7,17,20,65.0
Dpy19l1,026 NLOT Rho Glut,97.9,46.2,40,75,004 L6 IT CTX Glut,89.5,14,20,57.0
Dpyd,133 PVH-SO-PVa Otp Glut,100.0,49.8,38,75,113 MEA-COA-BMA Ccdc42 Glut,96.7,9,20,50.7
Drd1,061 STR D1 Gaba,96.7,88.6,12,75,029 L6b CTX Glut,67.2,2,20,17.6
Drd2,062 STR D2 Gaba,94.6,92.0,3,75,119 SI-MA-LPO-LHA Skor1 Glut,28.9,0,20,5.7
Dusp1,332 SMC NN,82.8,61.6,8,75,006 L4/5 IT CTX Glut,54.5,3,20,27.9
Dusp4,013 COAp Grxcr2 Glut,31.7,26.6,0,75,119 SI-MA-LPO-LHA Skor1 Glut,18.2,0,20,4.5
Dusp5,013 COAp Grxcr2 Glut,46.7,40.8,0,75,032 L5 NP CTX Glut,40.6,0,20,9.8
E2f6,058 PAL-STR Gaba-Chol,77.5,30.7,30,75,119 SI-MA-LPO-LHA Skor1 Glut,63.5,9,20,37.9
Ebf1,332 SMC NN,99.7,97.3,7,75,082 CEA-BST Ebf1 Pdyn Gaba,73.3,1,20,11.5
Ebf3,133 PVH-SO-PVa Otp Glut,91.9,91.7,3,75,121 MEA-BST Otp Zic2 Glut,18.5,0,20,1.7
Egr1,026 NLOT Rho Glut,98.6,39.1,47,75,006 L4/5 IT CTX Glut,98.0,17,20,61.3
Egr3,001 CLA-EPd-CTX Car3 Glut,96.8,72.0,27,75,006 L4/5 IT CTX Glut,96.5,11,20,46.7
Egr4,013 COAp Grxcr2 Glut,71.7,63.1,5,75,006 L4/5 IT CTX Glut,60.1,3,20,20.8
Emcn,333 Endo NN,85.2,84.3,2,75,120 MEA Otp Foxp2 Glut,3.1,0,20,2.9
Emx1,013 COAp Grxcr2 Glut,61.7,61.4,1,75,012 MEA Slc17a7 Glut,41.2,0,20,8.1
Ep300,133 PVH-SO-PVa Otp Glut,95.6,24.9,67,75,012 MEA Slc17a7 Glut,87.5,19,20,65.2
Epha4,013 COAp Grxcr2 Glut,100.0,40.8,42,75,006 L4/5 IT CTX Glut,99.5,12,20,55.0
Etv1,032 L5 NP CTX Glut,99.8,77.0,20,75,032 L5 NP CTX Glut,99.8,3,20,34.8
Etv5,022 L5 ET CTX Glut,95.8,55.3,28,75,022 L5 ET CTX Glut,95.8,10,20,56.1
Eya4,052 Pvalb Gaba,50.6,48.9,1,75,052 Pvalb Gaba,51.3,1,20,9.4
Fezf1,120 MEA Otp Foxp2 Glut,71.7,71.3,2,75,120 MEA Otp Foxp2 Glut,71.7,2,20,3.5
Fezf2,022 L5 ET CTX Glut,94.1,93.6,6,75,022 L5 ET CTX Glut,94.1,4,20,16.4
Fgd5,333 Endo NN,86.0,83.3,2,75,046 Vip Gaba,15.5,0,20,5.3
Fhl2,026 NLOT Rho Glut,84.3,72.0,12,75,004 L6 IT CTX Glut,82.1,6,20,27.9
Fhod3,006 L4/5 IT CTX Glut,96.8,41.5,41,75,006 L4/5 IT CTX Glut,96.8,13,20,47.7
Fibcd1,058 PAL-STR Gaba-Chol,49.4,46.8,0,75,053 Sst Gaba,31.6,0,20,3.5
Fign,084 BST-SI-AAA Six3 Slc22a3 Gaba,98.7,85.5,18,75,120 MEA Otp Foxp2 Glut,88.0,4,20,27.6
Fmod,330 VLMC NN,48.8,48.7,0,75,029 L6b CTX Glut,1.2,0,20,0.4
Fn1,333 Endo NN,93.8,93.1,1,75,119 SI-MA-LPO-LHA Skor1 Glut,3.3,0,20,2.9
Fos,332 SMC NN,87.9,63.3,11,75,006 L4/5 IT CTX Glut,62.4,2,20,28.1
Fosb,013 COAp Grxcr2 Glut,71.7,58.8,3,75,022 L5 ET CTX Glut,34.5,0,20,15.8
Fosl2,013 COAp Grxcr2 Glut,81.7,64.6,3,75,005 L5 IT CTX Glut,49.0,0,20,19.0
Foxp1,005 L5 IT CTX Glut,99.9,6.0,73,75,005 L5 IT CTX Glut,99.9,20,20,88.8
Foxp2,064 STR-PAL Chst9 Gaba,99.9,89.7,17,75,120 MEA Otp Foxp2 Glut,99.0,5,20,27.1
Fxr1,133 PVH-SO-PVa Otp Glut,96.3,21.7,64,75,119 SI-MA-LPO-LHA Skor1 Glut,88.2,19,20,67.2
Gabbr1,013 COAp Grxcr2 Glut,100.0,0.8,69,75,022 L5 ET CTX Glut,99.7,20,20,90.3
Gabbr2,013 COAp Grxcr2 Glut,100.0,3.6,64,75,004 L6 IT CTX Glut,99.9,20,20,82.6
Gabpa,026 NLOT Rho Glut,43.4,17.6,0,75,012 MEA Slc17a7 Glut,38.2,0,20,24.3
Gabre,077 CEA-BST Gal Avp Gaba,91.8,91.1,1,75,082 CEA-BST Ebf1 Pdyn Gaba,32.0,0,20,3.8
Gad1,055 STR Lhx8 Gaba,100.0,11.3,40,75,049 Lamp5 Gaba,100.0,7,20,40.1
Gad2,085 SI-MPO-LPO Lhx8 Gaba,100.0,13.2,40,75,049 Lamp5 Gaba,100.0,7,20,40.4
Gadd45a,030 L6 CT CTX Glut,61.3,52.5,1,75,030 L6 CT CTX Glut,61.3,1,20,15.8
Galnt14,002 IT EP-CLA Glut,97.4,61.4,28,75,004 L6 IT CTX Glut,92.3,11,20,30.5
Galr1,077 CEA-BST Gal Avp Gaba,87.7,87.1,1,75,113 MEA-COA-BMA Ccdc42 Glut,35.6,0,20,5.4
Garnl3,030 L6 CT CTX Glut,98.6,19.1,58,75,030 L6 CT CTX Glut,98.6,19,20,61.8
Gfap,318 Astro-NT NN,24.1,23.0,0,75,121 MEA-BST Otp Zic2 Glut,1.4,0,20,3.2
Gfra1,001 CLA-EPd-CTX Car3 Glut,97.6,79.7,13,75,121 MEA-BST Otp Zic2 Glut,64.0,2,20,25.1
Gfra2,005 L5 IT CTX Glut,93.5,60.3,19,75,005 L5 IT CTX Glut,93.5,7,20,39.7
Gjb2,330 VLMC NN,64.4,64.3,1,75,121 MEA-BST Otp Zic2 Glut,0.3,0,20,1.7
Gjc3,327 Oligo NN,98.2,96.8,2,75,012 MEA Slc17a7 Glut,1.9,0,20,11.0
Gli3,319 Astro-TE NN,93.6,92.3,2,75,113 MEA-COA-BMA Ccdc42 Glut,3.3,0,20,11.5
Glipr1,026 NLOT Rho Glut,30.8,27.3,0,75,113 MEA-COA-BMA Ccdc42 Glut,22.0,0,20,4.5
Gm19410,022 L5 ET CTX Glut,94.8,92.7,4,75,022 L5 ET CTX Glut,94.8,1,20,14.7
Gm2115,058 PAL-STR Gaba-Chol,36.2,33.9,0,75,005 L5 IT CTX Glut,11.5,0,20,7.0
Gng12,029 L6b CTX Glut,97.2,69.4,23,75,029 L6b CTX Glut,97.2,7,20,48.3
Gpr101,122 LHA-MEA Otp Glut,91.6,86.2,11,75,082 CEA-BST Ebf1 Pdyn Gaba,78.9,3,20,14.0
Gpr12,051 Pvalb chandelier Gaba,56.1,40.9,2,75,012 MEA Slc17a7 Glut,47.9,0,20,13.0
Gpr17,326 OPC NN,98.3,97.4,1,75,082 CEA-BST Ebf1 Pdyn Gaba,1.3,0,20,6.4
Gpr22,013 COAp Grxcr2 Glut,100.0,44.1,41,75,004 L6 IT CTX Glut,91.4,16,20,47.0
Gpr26,026 NLOT Rho Glut,98.3,56.8,25,75,006 L4/5 IT CTX Glut,85.8,12,20,39.1
Gpr3,052 Pvalb Gaba,23.3,20.5,0,75,052 Pvalb Gaba,23.4,0,20,5.8
Gpr63,048 RHP-COA Ndnf Gaba,10.1,9.4,0,75,049 Lamp5 Gaba,2.7,0,20,0.7
Gpr68,077 CEA-BST Gal Avp Gaba,51.3,33.8,1,75,012 MEA Slc17a7 Glut,43.6,0,20,17.1
Gpr88,063 STR D1 Sema5a Gaba,100.0,84.6,21,75,120 MEA Otp Foxp2 Glut,75.3,6,20,22.9
Gria1,002 IT EP-CLA Glut,100.0,0.2,67,75,012 MEA Slc17a7 Glut,100.0,20,20,83.9
Gria2,001 CLA-EPd-CTX Car3 Glut,100.0,0.0,68,75,022 L5 ET CTX Glut,100.0,20,20,91.1
Grik3,059 GPe-SI Sox6 Cyp26b1 Gaba,98.9,51.6,35,75,029 L6b CTX Glut,98.5,11,20,51.2
Grin1,013 COAp Grxcr2 Glut,100.0,1.8,65,75,022 L5 ET CTX Glut,99.3,20,20,74.8
Grin2a,013 COAp Grxcr2 Glut,100.0,6.8,59,75,022 L5 ET CTX Glut,99.9,20,20,69.6
Grin2b,001 CLA-EPd-CTX Car3 Glut,100.0,0.0,67,75,007 L2/3 IT CTX Glut,100.0,20,20,82.4
Grm1,035 OB Eomes Ms4a15 Glut,100.0,16.7,57,75,012 MEA Slc17a7 Glut,98.2,17,20,58.4
Grm5,001 CLA-EPd-CTX Car3 Glut,100.0,0.2,64,75,022 L5 ET CTX Glut,100.0,20,20,82.3
Grm8,064 STR-PAL Chst9 Gaba,99.6,43.2,43,75,022 L5 ET CTX Glut,98.7,15,20,55.5
Gsg1l,001 CLA-EPd-CTX Car3 Glut,93.9,51.6,23,75,007 L2/3 IT CTX Glut,92.3,6,20,43.6
Gucy1a1,332 SMC NN,94.0,41.6,39,75,007 L2/3 IT CTX Glut,90.3,12,20,40.8
Hapln1,050 Lamp5 Lhx6 Gaba,98.0,95.8,5,75,049 Lamp5 Gaba,89.0,1,20,10.0
Hat1,133 PVH-SO-PVa Otp Glut,38.2,15.7,0,75,119 SI-MA-LPO-LHA Skor1 Glut,30.4,0,20,19.5
Hcrtr1,026 NLOT Rho Glut,16.4,14.6,0,75,113 MEA-COA-BMA Ccdc42 Glut,15.9,0,20,4.0
Hcrtr2,050 Lamp5 Lhx6 Gaba,89.2,80.4,5,75,049 Lamp5 Gaba,67.3,2,20,9.4
Hivep1,029 L6b CTX Glut,90.0,39.0,39,75,029 L6b CTX Glut,90.0,13,20,49.8
Homer1,001 CLA-EPd-CTX Car3 Glut,100.0,15.9,61,75,006 L4/5 IT CTX Glut,99.6,20,20,73.5
Hpcal1,013 COAp Grxcr2 Glut,100.0,55.8,34,75,012 MEA Slc17a7 Glut,94.8,9,20,37.4
Hrh1,120 MEA Otp Foxp2 Glut,70.2,44.8,14,75,120 MEA Otp Foxp2 Glut,70.2,5,20,32.1
Hrh3,006 L4/5 IT CTX Glut,81.1,43.5,19,75,006 L4/5 IT CTX Glut,81.1,5,20,31.0
Hs3st2,055 STR Lhx8 Gaba,98.2,81.4,15,75,030 L6 CT CTX Glut,98.2,6,20,35.2
Hsd17b12,058 PAL-STR Gaba-Chol,90.6,30.5,57,75,119 SI-MA-LPO-LHA Skor1 Glut,74.4,17,20,55.7
Hsf5,058 PAL-STR Gaba-Chol,24.4,12.7,0,75,012 MEA Slc17a7 Glut,20.1,0,20,10.2
Hspa5,133 PVH-SO-PVa Otp Glut,100.0,19.1,67,75,074 MEA-BST Lhx6 Sp9 Gaba,87.4,19,20,75.0
Htr1a,058 PAL-STR Gaba-Chol,63.1,51.4,1,75,005 L5 IT CTX Glut,28.3,0,20,12.6
Htr1b,026 NLOT Rho Glut,88.1,74.7,7,75,082 CEA-BST Ebf1 Pdyn Gaba,51.9,2,20,17.8
Htr1f,064 STR-PAL Chst9 Gaba,96.9,60.4,27,75,030 L6 CT CTX Glut,93.7,9,20,41.1
Htr2a,001 CLA-EPd-CTX Car3 Glut,96.8,80.6,15,75,005 L5 IT CTX Glut,78.6,7,20,23.7
Htr2c,120 MEA Otp Foxp2 Glut,98.3,53.1,35,75,120 MEA Otp Foxp2 Glut,98.3,10,20,33.5
Htr6,083 CEA-BST Rai14 Pdyn Crh Gaba,8.9,6.6,0,75,004 L6 IT CTX Glut,5.2,0,20,2.2
Hunk,133 PVH-SO-PVa Otp Glut,68.4,50.7,8,75,052 Pvalb Gaba,63.4,1,20,21.7
Id2,001 CLA-EPd-CTX Car3 Glut,99.2,63.2,31,75,049 Lamp5 Gaba,97.0,12,20,54.7
Igf1,047 Sncg Gaba,95.2,92.7,9,75,046 Vip Gaba,94.8,3,20,9.1
Igf2,330 VLMC NN,98.8,98.8,1,75,074 MEA-BST Lhx6 Sp9 Gaba,0.1,0,20,0.8
Igfbp4,055 STR Lhx8 Gaba,99.1,92.4,10,75,022 L5 ET CTX Glut,78.9,3,20,17.7
Igfbp5,077 CEA-BST Gal Avp Gaba,94.9,58.0,26,75,012 MEA Slc17a7 Glut,83.3,8,20,36.0
Igfbp6,007 L2/3 IT CTX Glut,84.7,79.7,8,75,007 L2/3 IT CTX Glut,84.7,4,20,20.6
Igsf21,002 IT EP-CLA Glut,94.8,65.3,25,75,030 L6 CT CTX Glut,93.5,9,20,42.9
Ikzf1,334 Microglia NN,95.4,95.2,2,75,120 MEA Otp Foxp2 Glut,0.5,0,20,4.0
Inpp4b,064 STR-PAL Chst9 Gaba,99.6,30.6,49,75,120 MEA Otp Foxp2 Glut,98.4,10,20,51.0
Isl1,077 CEA-BST Gal Avp Gaba,94.9,94.6,9,75,082 CEA-BST Ebf1 Pdyn Gaba,54.8,1,20,3.0
Junb,334 Microglia NN,95.9,56.0,25,75,006 L4/5 IT CTX Glut,72.8,7,20,44.7
Kcnh5,064 STR-PAL Chst9 Gaba,95.7,67.4,22,75,006 L4/5 IT CTX Glut,82.5,7,20,34.0
Kcnmb2,052 Pvalb Gaba,99.0,84.2,19,75,052 Pvalb Gaba,99.0,5,20,17.4
Kctd12,334 Microglia NN,98.0,57.2,29,75,012 MEA Slc17a7 Glut,73.4,3,20,33.6
Kctd8,059 GPe-SI Sox6 Cyp26b1 Gaba,96.2,55.3,31,75,053 Sst Gaba,88.8,7,20,30.6
Kdr,333 Endo NN,84.6,84.1,1,75,119 SI-MA-LPO-LHA Skor1 Glut,11.4,0,20,3.8
Kitl,001 CLA-EPd-CTX Car3 Glut,96.6,81.1,10,75,007 L2/3 IT CTX Glut,79.2,3,20,25.9
Klf10,001 CLA-EPd-CTX Car3 Glut,78.5,56.4,13,75,005 L5 IT CTX Glut,75.9,8,20,33.9
Krt9,113 MEA-COA-BMA Ccdc42 Glut,52.7,51.4,1,75,113 MEA-COA-BMA Ccdc42 Glut,52.7,1,20,6.4
Lamb3,113 MEA-COA-BMA Ccdc42 Glut,66.7,61.1,1,75,113 MEA-COA-BMA Ccdc42 Glut,66.7,1,20,10.3
Lamp5,050 Lamp5 Lhx6 Gaba,97.6,84.6,18,75,049 Lamp5 Gaba,91.5,6,20,26.9
Laptm5,334 Microglia NN,99.3,98.7,2,75,007 L2/3 IT CTX Glut,1.0,0,20,4.8
Lhx6,055 STR Lhx8 Gaba,100.0,97.6,14,75,074 MEA-BST Lhx6 Sp9 Gaba,88.7,3,20,11.4
Lratd2,022 L5 ET CTX Glut,47.3,45.1,0,75,022 L5 ET CTX Glut,47.3,0,20,3.4
Ly6a,333 Endo NN,94.2,93.9,1,75,052 Pvalb Gaba,0.5,0,20,2.2
Lypd6,055 STR Lhx8 Gaba,94.6,82.5,12,75,053 Sst Gaba,92.9,2,20,17.7
Lyz2,335 BAM NN,99.5,99.3,1,75,052 Pvalb Gaba,1.1,0,20,1.5
Maf,050 Lamp5 Lhx6 Gaba,99.6,89.8,14,75,049 Lamp5 Gaba,91.4,4,20,20.8
