gene,own_best_subclass,own_pct,own_mean_log2,best_anchor,anchor_pct,anchor_mean_log2,n_subclasses_ge50,level_verdict
Rbp4,053 Sst Gaba,87.8,7.15,053 Sst Gaba,89.7,7.33,2,strong in its own population
Rfx4,319 Astro-TE NN,91.5,7.87,082 CEA-BST Ebf1 Pdyn Gaba,7.8,0.39,3,strong in its own population
Rgs4,055 STR Lhx8 Gaba,100.0,8.64,006 L4/5 IT CTX Glut,99.3,9.47,55,strong in its own population
Rgs9,063 STR D1 Sema5a Gaba,93.5,7.71,082 CEA-BST Ebf1 Pdyn Gaba,80.5,5.03,27,strong in its own population
Rims3,058 PAL-STR Gaba-Chol,98.1,6.9,119 SI-MA-LPO-LHA Skor1 Glut,93.7,6.59,48,strong in its own population
Rmst,026 NLOT Rho Glut,100.0,8.99,120 MEA Otp Foxp2 Glut,99.9,10.21,33,strong in its own population
Rnf152,032 L5 NP CTX Glut,94.6,7.82,032 L5 NP CTX Glut,94.6,7.82,16,strong in its own population
Ror1,330 VLMC NN,91.6,8.73,012 MEA Slc17a7 Glut,24.0,1.49,4,strong in its own population
Rorb,319 Astro-TE NN,99.5,10.37,006 L4/5 IT CTX Glut,96.4,8.55,10,strong in its own population
Rprm,026 NLOT Rho Glut,99.7,7.78,030 L6 CT CTX Glut,91.3,7.38,13,strong in its own population
Rspo1,077 CEA-BST Gal Avp Gaba,92.8,6.18,113 MEA-COA-BMA Ccdc42 Glut,57.5,3.45,3,strong in its own population
Rspo2,003 L5/6 IT TPE-ENT Glut,89.2,6.46,004 L6 IT CTX Glut,88.1,6.42,7,strong in its own population
Rxfp1,001 CLA-EPd-CTX Car3 Glut,92.0,8.13,022 L5 ET CTX Glut,34.1,2.1,2,strong in its own population
S1pr3,331 Peri NN,84.6,7.69,006 L4/5 IT CTX Glut,24.3,1.39,3,strong in its own population
Satb2,005 L5 IT CTX Glut,98.8,8.16,005 L5 IT CTX Glut,98.8,8.16,12,strong in its own population
Scn5a,083 CEA-BST Rai14 Pdyn Crh Gaba,94.9,7.11,074 MEA-BST Lhx6 Sp9 Gaba,90.2,6.38,21,strong in its own population
Sdk2,029 L6b CTX Glut,99.0,8.67,029 L6b CTX Glut,99.0,8.67,37,strong in its own population
Sema3a,120 MEA Otp Foxp2 Glut,97.5,9.39,120 MEA Otp Foxp2 Glut,97.5,9.39,25,strong in its own population
Sema3d,326 OPC NN,90.8,7.59,120 MEA Otp Foxp2 Glut,37.2,2.29,1,strong in its own population
Sema3e,002 IT EP-CLA Glut,93.3,7.28,004 L6 IT CTX Glut,88.8,6.7,12,strong in its own population
Sema5a,113 MEA-COA-BMA Ccdc42 Glut,95.7,7.71,113 MEA-COA-BMA Ccdc42 Glut,95.7,7.71,37,strong in its own population
Sema5b,063 STR D1 Sema5a Gaba,94.3,7.88,029 L6b CTX Glut,75.8,5.45,14,strong in its own population
Sema6a,048 RHP-COA Ndnf Gaba,97.8,8.02,121 MEA-BST Otp Zic2 Glut,95.4,7.89,40,strong in its own population
Sfrp1,056 Sst Chodl Gaba,71.7,5.17,049 Lamp5 Gaba,21.1,1.33,2,strong in its own population
Shisa6,026 NLOT Rho Glut,99.0,7.41,046 Vip Gaba,89.8,7.72,21,strong in its own population
Siglech,334 Microglia NN,98.2,9.76,052 Pvalb Gaba,0.5,0.02,2,strong in its own population
Sim1,026 NLOT Rho Glut,100.0,9.13,121 MEA-BST Otp Zic2 Glut,88.0,6.49,4,strong in its own population
Sipa1l3,058 PAL-STR Gaba-Chol,86.9,5.1,012 MEA Slc17a7 Glut,78.5,4.71,53,strong in its own population
Skor1,119 SI-MA-LPO-LHA Skor1 Glut,53.6,3.15,119 SI-MA-LPO-LHA Skor1 Glut,53.6,3.15,1,usable in its own population
Sla,030 L6 CT CTX Glut,68.1,4.5,030 L6 CT CTX Glut,68.1,4.5,2,usable in its own population
Slc13a4,330 VLMC NN,65.3,5.72,121 MEA-BST Otp Zic2 Glut,1.3,0.06,1,usable in its own population
Slc17a6,119 SI-MA-LPO-LHA Skor1 Glut,99.5,8.38,119 SI-MA-LPO-LHA Skor1 Glut,99.5,8.38,12,strong in its own population
Slc17a7,001 CLA-EPd-CTX Car3 Glut,100.0,9.65,029 L6b CTX Glut,100.0,10.06,17,strong in its own population
Slc29a4,058 PAL-STR Gaba-Chol,65.0,3.19,012 MEA Slc17a7 Glut,64.9,3.82,4,usable in its own population
Slc32a1,055 STR Lhx8 Gaba,100.0,8.0,074 MEA-BST Lhx6 Sp9 Gaba,98.7,7.87,37,strong in its own population
Slc39a12,318 Astro-NT NN,97.0,8.95,120 MEA Otp Foxp2 Glut,46.1,2.77,2,strong in its own population
Slc44a5,059 GPe-SI Sox6 Cyp26b1 Gaba,96.8,7.44,012 MEA Slc17a7 Glut,85.4,5.9,41,strong in its own population
Slc6a3,044 OB Dopa-Gaba,22.8,1.77,082 CEA-BST Ebf1 Pdyn Gaba,4.6,0.26,0,too low to map reliably
Slfn5,333 Endo NN,81.6,7.18,022 L5 ET CTX Glut,1.0,0.06,2,strong in its own population
Slit2,026 NLOT Rho Glut,100.0,8.83,052 Pvalb Gaba,94.1,8.12,30,strong in its own population
Smad5,133 PVH-SO-PVa Otp Glut,79.4,4.78,119 SI-MA-LPO-LHA Skor1 Glut,54.5,3.1,9,strong in its own population
Snap25,001 CLA-EPd-CTX Car3 Glut,100.0,11.07,007 L2/3 IT CTX Glut,100.0,10.65,66,strong in its own population
Sncg,047 Sncg Gaba,68.3,4.82,046 Vip Gaba,1.8,0.12,2,usable in its own population
Sntb1,331 Peri NN,88.8,8.55,121 MEA-BST Otp Zic2 Glut,46.5,3.22,4,strong in its own population
Sorcs3,083 CEA-BST Rai14 Pdyn Crh Gaba,100.0,9.25,004 L6 IT CTX Glut,98.5,9.05,55,strong in its own population
Sox10,326 OPC NN,97.7,8.84,119 SI-MA-LPO-LHA Skor1 Glut,2.4,0.12,2,strong in its own population
Sox11,077 CEA-BST Gal Avp Gaba,95.4,6.92,074 MEA-BST Lhx6 Sp9 Gaba,84.1,5.62,45,strong in its own population
Sox12,133 PVH-SO-PVa Otp Glut,64.7,3.64,012 MEA Slc17a7 Glut,49.1,2.59,1,usable in its own population
Sox17,333 Endo NN,75.5,6.38,052 Pvalb Gaba,0.5,0.02,1,strong in its own population
Sox5,001 CLA-EPd-CTX Car3 Glut,99.5,8.71,004 L6 IT CTX Glut,96.3,7.75,29,strong in its own population
Sox6,055 STR Lhx8 Gaba,100.0,9.13,052 Pvalb Gaba,94.5,8.1,15,strong in its own population
Sox8,326 OPC NN,86.0,6.86,007 L2/3 IT CTX Glut,50.1,3.0,6,strong in its own population
Sp8,047 Sncg Gaba,70.2,4.89,073 MEA-BST Sox6 Gaba,31.6,1.91,2,strong in its own population
Sp9,054 STR Prox1 Lhx6 Gaba,89.6,6.28,074 MEA-BST Lhx6 Sp9 Gaba,79.0,5.2,14,strong in its own population
Spag16,121 MEA-BST Otp Zic2 Glut,15.5,0.95,121 MEA-BST Otp Zic2 Glut,15.5,0.95,0,too low to map reliably
Spi1,335 BAM NN,85.4,7.01,005 L5 IT CTX Glut,0.2,0.01,2,strong in its own population
Spp1,330 VLMC NN,74.9,6.97,052 Pvalb Gaba,2.8,0.19,1,strong in its own population
Sst,053 Sst Gaba,98.7,10.9,053 Sst Gaba,99.0,10.96,4,strong in its own population
Sstr2,001 CLA-EPd-CTX Car3 Glut,96.5,7.79,120 MEA Otp Foxp2 Glut,62.4,3.61,6,strong in its own population
Sstr4,013 COAp Grxcr2 Glut,3.3,0.15,022 L5 ET CTX Glut,1.4,0.06,0,too low to map reliably
Stard5,032 L5 NP CTX Glut,75.8,5.62,032 L5 NP CTX Glut,75.8,5.62,2,strong in its own population
Stk40,026 NLOT Rho Glut,79.7,4.65,006 L4/5 IT CTX Glut,59.5,3.55,18,strong in its own population
Strip2,026 NLOT Rho Glut,98.2,7.05,007 L2/3 IT CTX Glut,49.3,2.99,6,strong in its own population
Syndig1,026 NLOT Rho Glut,97.5,6.9,006 L4/5 IT CTX Glut,89.4,6.33,33,strong in its own population
Syndig1l,061 STR D1 Gaba,92.3,7.0,082 CEA-BST Ebf1 Pdyn Gaba,46.5,2.96,4,strong in its own population
Synpr,001 CLA-EPd-CTX Car3 Glut,100.0,10.54,046 Vip Gaba,99.8,10.54,28,strong in its own population
Syt17,003 L5/6 IT TPE-ENT Glut,95.6,7.31,007 L2/3 IT CTX Glut,92.0,6.82,20,strong in its own population
Syt2,059 GPe-SI Sox6 Cyp26b1 Gaba,57.5,3.86,052 Pvalb Gaba,30.7,2.24,1,usable in its own population
Syt6,030 L6 CT CTX Glut,91.7,6.9,030 L6 CT CTX Glut,91.7,6.9,9,strong in its own population
Tac1,061 STR D1 Gaba,86.5,7.51,052 Pvalb Gaba,70.1,5.78,7,strong in its own population
Tac2,088 BST Tac2 Gaba,80.4,7.25,046 Vip Gaba,47.7,4.23,2,strong in its own population
Tacr1,058 PAL-STR Gaba-Chol,90.0,6.96,012 MEA Slc17a7 Glut,61.6,3.94,9,strong in its own population
Tacr3,133 PVH-SO-PVa Otp Glut,61.0,3.71,082 CEA-BST Ebf1 Pdyn Gaba,30.1,1.84,3,usable in its own population
Tanc1,013 COAp Grxcr2 Glut,90.0,6.1,012 MEA Slc17a7 Glut,66.3,4.36,9,strong in its own population
Tbr1,030 L6 CT CTX Glut,96.6,7.57,030 L6 CT CTX Glut,96.6,7.57,18,strong in its own population
Tcf7l2,318 Astro-NT NN,88.9,7.57,119 SI-MA-LPO-LHA Skor1 Glut,44.8,4.57,7,strong in its own population
Th,044 OB Dopa-Gaba,57.0,4.87,052 Pvalb Gaba,11.3,0.8,1,usable in its own population
Thsd7a,051 Pvalb chandelier Gaba,100.0,11.14,012 MEA Slc17a7 Glut,83.3,6.52,41,strong in its own population
Thsd7b,088 BST Tac2 Gaba,98.6,9.42,030 L6 CT CTX Glut,91.8,7.4,36,strong in its own population
Tiparp,013 COAp Grxcr2 Glut,70.0,4.36,012 MEA Slc17a7 Glut,55.8,3.27,7,strong in its own population
Tle4,077 CEA-BST Gal Avp Gaba,100.0,8.9,029 L6b CTX Glut,98.9,8.38,44,strong in its own population
Tmem132d,001 CLA-EPd-CTX Car3 Glut,99.7,8.95,004 L6 IT CTX Glut,96.6,7.96,49,strong in its own population
Tmem163,001 CLA-EPd-CTX Car3 Glut,98.7,8.49,119 SI-MA-LPO-LHA Skor1 Glut,95.6,7.51,16,strong in its own population
Tmem255a,077 CEA-BST Gal Avp Gaba,99.0,7.77,121 MEA-BST Otp Zic2 Glut,88.3,6.51,31,strong in its own population
Tox,022 L5 ET CTX Glut,99.8,9.2,022 L5 ET CTX Glut,99.8,9.2,33,strong in its own population
Trbc2,030 L6 CT CTX Glut,92.8,7.36,030 L6 CT CTX Glut,92.8,7.36,2,strong in its own population
Trem2,334 Microglia NN,94.0,8.84,005 L5 IT CTX Glut,5.0,0.25,2,strong in its own population
Trh,120 MEA Otp Foxp2 Glut,64.0,4.29,120 MEA Otp Foxp2 Glut,64.0,4.29,3,usable in its own population
Trhr,037 DG Glut,89.7,6.73,012 MEA Slc17a7 Glut,87.3,6.58,9,strong in its own population
Trp73,036 HPF CR Glut,94.0,8.57,119 SI-MA-LPO-LHA Skor1 Glut,3.5,0.19,2,strong in its own population
Trpc4,059 GPe-SI Sox6 Cyp26b1 Gaba,92.5,6.67,052 Pvalb Gaba,86.5,6.6,33,strong in its own population
Tshz2,084 BST-SI-AAA Six3 Slc22a3 Gaba,100.0,9.87,032 L5 NP CTX Glut,100.0,11.91,35,strong in its own population
Tspan18,077 CEA-BST Gal Avp Gaba,77.4,4.74,119 SI-MA-LPO-LHA Skor1 Glut,26.8,1.58,1,strong in its own population
Unc13c,121 MEA-BST Otp Zic2 Glut,99.0,9.44,121 MEA-BST Otp Zic2 Glut,99.0,9.44,30,strong in its own population
Upk1b,079 CEA-BST Six3 Cyp26b1 Gaba,54.1,3.36,113 MEA-COA-BMA Ccdc42 Glut,17.6,0.97,1,usable in its own population
Vat1l,077 CEA-BST Gal Avp Gaba,100.0,7.8,082 CEA-BST Ebf1 Pdyn Gaba,98.2,8.39,44,strong in its own population
Vdr,082 CEA-BST Ebf1 Pdyn Gaba,11.2,0.92,082 CEA-BST Ebf1 Pdyn Gaba,11.2,0.92,0,too low to map reliably
Vip,046 Vip Gaba,88.3,10.12,046 Vip Gaba,92.9,10.68,1,strong in its own population
Vipr2,051 Pvalb chandelier Gaba,43.1,2.74,082 CEA-BST Ebf1 Pdyn Gaba,8.2,0.58,0,high level in a minority of cells (sparse but real)
Vps13a,133 PVH-SO-PVa Otp Glut,97.8,7.19,012 MEA Slc17a7 Glut,96.8,7.09,64,strong in its own population
Vwc2l,032 L5 NP CTX Glut,97.1,8.83,032 L5 NP CTX Glut,97.1,8.83,20,strong in its own population
Wfs1,081 ACB-BST-FS D1 Gaba,92.3,6.81,082 CEA-BST Ebf1 Pdyn Gaba,83.6,5.82,24,strong in its own population
Zbtb25,077 CEA-BST Gal Avp Gaba,44.6,2.31,082 CEA-BST Ebf1 Pdyn Gaba,34.1,1.77,0,high level in a minority of cells (sparse but real)
Zbtb40,058 PAL-STR Gaba-Chol,43.1,2.0,119 SI-MA-LPO-LHA Skor1 Glut,28.5,1.54,0,high level in a minority of cells (sparse but real)
Zdbf2,133 PVH-SO-PVa Otp Glut,98.5,8.15,121 MEA-BST Otp Zic2 Glut,95.1,7.04,50,strong in its own population
Zfp366,333 Endo NN,80.2,7.18,121 MEA-BST Otp Zic2 Glut,0.5,0.03,1,strong in its own population
Zfp46,026 NLOT Rho Glut,74.1,4.15,012 MEA Slc17a7 Glut,54.6,2.99,3,strong in its own population
Zfp536,050 Lamp5 Lhx6 Gaba,100.0,10.32,049 Lamp5 Gaba,99.6,9.96,26,strong in its own population
Zfp580,026 NLOT Rho Glut,64.7,3.39,005 L5 IT CTX Glut,43.5,2.44,3,usable in its own population
Zfp641,048 RHP-COA Ndnf Gaba,65.4,3.66,052 Pvalb Gaba,51.5,3.17,10,usable in its own population
Zfp933,083 CEA-BST Rai14 Pdyn Crh Gaba,76.2,4.39,082 CEA-BST Ebf1 Pdyn Gaba,70.0,4.06,48,strong in its own population
Zfpm2,013 COAp Grxcr2 Glut,100.0,9.05,012 MEA Slc17a7 Glut,99.7,9.65,20,strong in its own population
Zhx2,013 COAp Grxcr2 Glut,83.3,5.12,012 MEA Slc17a7 Glut,79.4,4.91,9,strong in its own population
Zic1,058 PAL-STR Gaba-Chol,98.8,8.12,121 MEA-BST Otp Zic2 Glut,69.7,5.5,8,strong in its own population
Zic2,330 VLMC NN,78.7,6.3,121 MEA-BST Otp Zic2 Glut,60.6,3.53,4,strong in its own population
Zkscan16,090 BST-MPN Six3 Nrgn Gaba,77.1,4.78,121 MEA-BST Otp Zic2 Glut,75.5,4.75,35,strong in its own population
Zkscan2,330 VLMC NN,67.7,5.32,119 SI-MA-LPO-LHA Skor1 Glut,50.5,2.83,16,usable in its own population
Adcyap1,026 NLOT Rho Glut,88.1,6.04,113 MEA-COA-BMA Ccdc42 Glut,84.5,6.22,9,strong in its own population
Adra2a,001 CLA-EPd-CTX Car3 Glut,61.0,3.79,012 MEA Slc17a7 Glut,42.9,2.31,2,usable in its own population
Adrb1,026 NLOT Rho Glut,84.3,4.93,005 L5 IT CTX Glut,80.6,5.24,20,strong in its own population
Adrb2,335 BAM NN,50.7,3.76,032 L5 NP CTX Glut,5.1,0.31,1,usable in its own population
Arhgap32,013 COAp Grxcr2 Glut,100.0,8.42,022 L5 ET CTX Glut,99.2,8.25,68,strong in its own population
Arntl,013 COAp Grxcr2 Glut,90.0,5.49,006 L4/5 IT CTX Glut,78.2,5.07,45,strong in its own population
Bhlhe41,113 MEA-COA-BMA Ccdc42 Glut,79.5,5.21,113 MEA-COA-BMA Ccdc42 Glut,79.5,5.21,21,strong in its own population
Btg2,334 Microglia NN,95.7,10.3,007 L2/3 IT CTX Glut,46.2,2.89,7,strong in its own population
Camk2b,013 COAp Grxcr2 Glut,100.0,9.13,012 MEA Slc17a7 Glut,99.7,8.68,63,strong in its own population
Ccbe1,007 L2/3 IT CTX Glut,74.5,5.25,007 L2/3 IT CTX Glut,74.5,5.25,4,strong in its own population
Cdh8,084 BST-SI-AAA Six3 Slc22a3 Gaba,98.7,7.92,073 MEA-BST Sox6 Gaba,89.7,7.19,48,strong in its own population
Clock,058 PAL-STR Gaba-Chol,96.9,6.57,012 MEA Slc17a7 Glut,96.8,6.79,66,strong in its own population
Creb1,058 PAL-STR Gaba-Chol,90.6,5.22,012 MEA Slc17a7 Glut,84.9,5.23,63,strong in its own population
Cry1,013 COAp Grxcr2 Glut,63.3,3.77,012 MEA Slc17a7 Glut,36.6,1.9,1,usable in its own population
Cry2,058 PAL-STR Gaba-Chol,90.6,5.46,006 L4/5 IT CTX Glut,89.3,6.2,61,strong in its own population
Csf1r,334 Microglia NN,99.8,10.99,119 SI-MA-LPO-LHA Skor1 Glut,3.7,0.19,2,strong in its own population
Dbp,062 STR D2 Gaba,57.8,3.69,113 MEA-COA-BMA Ccdc42 Glut,51.2,2.96,6,usable in its own population
Ddc,079 CEA-BST Six3 Cyp26b1 Gaba,66.8,4.29,082 CEA-BST Ebf1 Pdyn Gaba,44.8,2.58,4,usable in its own population
Ddx3y,133 PVH-SO-PVa Otp Glut,65.4,4.71,029 L6b CTX Glut,61.7,4.14,24,usable in its own population
Egr2,013 COAp Grxcr2 Glut,61.7,3.57,006 L4/5 IT CTX Glut,25.7,1.48,1,usable in its own population
Eif2s3y,012 MEA Slc17a7 Glut,57.8,3.57,012 MEA Slc17a7 Glut,57.8,3.57,12,usable in its own population
Esr1,077 CEA-BST Gal Avp Gaba,92.8,7.0,121 MEA-BST Otp Zic2 Glut,79.4,5.5,12,strong in its own population
Gphn,013 COAp Grxcr2 Glut,100.0,8.65,119 SI-MA-LPO-LHA Skor1 Glut,100.0,8.93,75,strong in its own population
Gpr158,013 COAp Grxcr2 Glut,100.0,9.6,012 MEA Slc17a7 Glut,99.9,8.87,65,strong in its own population
Gria3,013 COAp Grxcr2 Glut,100.0,10.09,022 L5 ET CTX Glut,100.0,10.05,61,strong in its own population
Gria4,001 CLA-EPd-CTX Car3 Glut,100.0,10.33,032 L5 NP CTX Glut,99.9,9.99,67,strong in its own population
Grin3a,026 NLOT Rho Glut,100.0,9.06,053 Sst Gaba,97.6,9.73,44,strong in its own population
Grm2,006 L4/5 IT CTX Glut,70.6,4.44,006 L4/5 IT CTX Glut,70.6,4.44,2,strong in its own population
Grm3,319 Astro-TE NN,98.8,10.68,006 L4/5 IT CTX Glut,97.9,8.32,46,strong in its own population
Grm7,010 IT AON-TT-DP Glut,100.0,9.95,120 MEA Otp Foxp2 Glut,100.0,10.67,64,strong in its own population
Hexb,334 Microglia NN,99.9,11.25,082 CEA-BST Ebf1 Pdyn Gaba,28.3,1.44,3,strong in its own population
Ier2,334 Microglia NN,74.1,7.24,006 L4/5 IT CTX Glut,32.1,1.8,5,strong in its own population
Jun,133 PVH-SO-PVa Otp Glut,97.8,7.29,012 MEA Slc17a7 Glut,65.8,4.14,26,strong in its own population
Jund,026 NLOT Rho Glut,98.6,7.27,113 MEA-COA-BMA Ccdc42 Glut,96.7,7.32,72,strong in its own population
Kdm5d,078 SI-MA-ACB Ebf1 Bnc2 Gaba,44.5,2.51,012 MEA Slc17a7 Glut,37.9,2.07,0,high level in a minority of cells (sparse but real)
