gene,own_best_subclass,own_pct,own_mean_log2,best_anchor,anchor_pct,anchor_mean_log2,n_subclasses_ge50,level_verdict
Odc1,013 COAp Grxcr2 Glut,88.3,5.7,120 MEA Otp Foxp2 Glut,74.2,4.5,48,strong in its own population
Osgin2,059 GPe-SI Sox6 Cyp26b1 Gaba,33.9,1.77,012 MEA Slc17a7 Glut,26.0,1.29,0,too low to map reliably
Pparg,013 COAp Grxcr2 Glut,75.0,5.2,006 L4/5 IT CTX Glut,56.7,3.65,4,strong in its own population
Prox2,026 NLOT Rho Glut,11.5,0.52,012 MEA Slc17a7 Glut,6.4,0.31,0,too low to map reliably
Rapgef2,010 IT AON-TT-DP Glut,99.4,8.15,012 MEA Slc17a7 Glut,98.7,7.75,73,strong in its own population
Rbm3,058 PAL-STR Gaba-Chol,88.1,5.16,012 MEA Slc17a7 Glut,74.6,4.42,53,strong in its own population
Rel,334 Microglia NN,73.5,6.21,005 L5 IT CTX Glut,22.5,1.2,1,strong in its own population
Zdhhc5,058 PAL-STR Gaba-Chol,83.1,4.54,119 SI-MA-LPO-LHA Skor1 Glut,60.2,3.46,24,strong in its own population
Zfp286,085 SI-MPO-LPO Lhx8 Gaba,51.5,2.68,022 L5 ET CTX Glut,47.6,2.68,1,usable in its own population
Zfp414,058 PAL-STR Gaba-Chol,58.8,2.87,121 MEA-BST Otp Zic2 Glut,40.5,2.22,1,usable in its own population
Zfp867,058 PAL-STR Gaba-Chol,25.6,1.06,119 SI-MA-LPO-LHA Skor1 Glut,16.2,0.84,0,too low to map reliably
Zfp938,026 NLOT Rho Glut,68.9,3.68,120 MEA Otp Foxp2 Glut,49.6,2.67,10,usable in its own population
Zfp941,085 SI-MPO-LPO Lhx8 Gaba,91.5,5.59,113 MEA-COA-BMA Ccdc42 Glut,87.2,5.74,45,strong in its own population
Zmiz1,026 NLOT Rho Glut,99.3,7.96,029 L6b CTX Glut,93.6,6.87,67,strong in its own population
