region_user,subclass,gene,n_cells,mean_log2_expr,pct_expr,is_nonneuronal,is_anchor_subclass,specificity_log2_vs_neuronal,specificity_log2_vs_neuronal_competitor_mean,specificity_log2_vs_panel,specificity_log2_vs_panel_competitor_mean,in_subclass_name
BMAp,009 L2/3 IT PIR-ENTl Glut,Egr4,38,1.0373,18.42,False,False,-3.807,4.8443,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Emx1,38,2.3444,42.11,False,False,-1.1505,3.4949,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Eomes,38,0.0,0.0,False,False,-2.4225,2.4225,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Esr1,38,0.1632,2.63,False,False,-6.8361,6.9993,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Esr2,38,0.0,0.0,False,False,-6.1403,6.1403,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Etv1,38,7.0089,94.74,False,False,-2.3041,9.313,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Fezf1,38,0.0,0.0,False,False,-4.4867,4.4867,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Fezf2,38,0.0,0.0,False,False,-4.1412,4.1412,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Flt1,38,0.1412,2.63,False,False,-0.0807,0.2219,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Fos,38,1.6804,26.32,False,False,-2.7438,4.4242,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Fosb,38,0.39,7.89,False,False,-4.1741,4.5641,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Foxp1,38,6.1147,89.47,False,False,-3.9168,10.0315,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Foxp2,38,0.2663,5.26,False,False,-10.7165,10.9828,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Frmd7,38,0.0,0.0,False,False,-0.5015,0.5015,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Fst,38,0.7083,13.16,False,False,-1.1848,1.8931,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gad1,38,1.4934,28.95,False,False,-9.6293,11.1227,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gad2,38,3.2226,50.0,False,False,-8.0173,11.2399,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gal,38,0.0,0.0,False,False,-9.9521,9.9521,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gja1,38,0.3506,7.89,False,False,-0.076,0.4266,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gnb3,38,0.0,0.0,False,False,-0.7193,0.7193,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gpr101,38,0.2871,5.26,False,False,-6.7042,6.9913,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gpr88,38,5.342,73.68,False,False,-3.8153,9.1573,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Grem1,38,0.126,2.63,False,False,-2.7507,2.8767,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gria1,38,9.2846,100.0,False,False,-2.2774,11.562,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gria2,38,10.0329,100.0,False,False,-0.5133,10.5462,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Gria3,38,6.31,89.47,False,False,-3.7817,10.0917,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Grin1,38,8.2216,100.0,False,False,-0.4104,8.632,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Grin2a,38,8.889,100.0,False,False,-2.1791,11.0681,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Grin2b,38,10.6316,100.0,False,False,-0.572,11.2036,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Grp,38,0.2691,5.26,False,False,-6.2636,6.5327,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Grxcr2,38,0.0,0.0,False,False,-1.4627,1.4627,,,False
BMAp,009 L2/3 IT PIR-ENTl Glut,Hdc,38,0.0,0.0,False,False,-0.2827,0.2827,,,False
