region,anchor,gene,in_panel_245,pct_expr,mean_log2_expr,specificity_log2_vs_other_anchors,rank_key,rank_within_anchor_all_genes,rank_within_anchor_panel_status
BMAp,113 MEA-COA-BMA Ccdc42 Glut,Iqgap2,False,92.9562875492024,7.019854950020717,2.7009861911900988,4.6692649619044815,1,1
BMAp,113 MEA-COA-BMA Ccdc42 Glut,H2-Q2,False,57.07478765278641,3.35353140537601,2.4208933587867065,4.177337663155818,3,2
BMAp,113 MEA-COA-BMA Ccdc42 Glut,Ntng1,False,97.09964781437746,8.504283360524136,2.0808298874938833,4.068047542195401,4,3
BMAp,113 MEA-COA-BMA Ccdc42 Glut,Cmbl,False,64.8332297493267,3.828221300756163,2.089578930171729,3.901376587242352,5,4
BMAp,113 MEA-COA-BMA Ccdc42 Glut,Nell1,False,86.97949036668739,6.936558032939714,1.8613386985709885,3.8007555572741403,6,5
BMAp,113 MEA-COA-BMA Ccdc42 Glut,Stac2,False,63.19660244458256,3.792549153848146,1.934672437072049,3.7353661675817635,7,6
BMAp,113 MEA-COA-BMA Ccdc42 Glut,Tmem215,False,76.40356328982806,4.783095494743112,1.7806738924533843,3.663787506016284,8,7
BMAp,113 MEA-COA-BMA Ccdc42 Glut,Gm28905,False,94.18893722809199,8.091088376579656,1.6354628831039237,3.6094627797085352,9,8
BMAp,113 MEA-COA-BMA Ccdc42 Glut,4930598N05Rik,False,59.519370209239696,3.737160438678268,1.7831031915975668,3.557761518770822,10,9
BMAp,113 MEA-COA-BMA Ccdc42 Glut,Tgfbr3,False,77.93660658794282,5.066104399730682,1.590758128565343,3.4824996209610113,12,10
BMAp,119 SI-MA-LPO-LHA Skor1 Glut,Ndst4,False,75.04587155963303,6.733845058056192,4.100385928963717,5.975712734694416,2,1
BMAp,119 SI-MA-LPO-LHA Skor1 Glut,Fndc5,False,88.9908256880734,6.249664026662844,3.514157235918377,5.463502472243998,4,2
BMAp,119 SI-MA-LPO-LHA Skor1 Glut,Il31ra,False,58.944954128440365,4.165474483944954,3.665389178420801,5.43583581248351,5,3
BMAp,119 SI-MA-LPO-LHA Skor1 Glut,Gpr149,False,66.0091743119266,4.7516682196100914,3.5481293725035434,5.367733672835544,6,4
BMAp,119 SI-MA-LPO-LHA Skor1 Glut,Mab21l1,False,63.62385321100918,4.139064739822247,3.4312565591943986,5.234876526663079,7,5
BMAp,119 SI-MA-LPO-LHA Skor1 Glut,Dmrta2,False,54.72477064220183,3.5774261754587156,3.403128275852478,5.141312225918215,8,6
BMAp,119 SI-MA-LPO-LHA Skor1 Glut,Vwc2,False,84.86238532110092,7.064759084719037,3.088936999710421,5.01765223450883,9,7
BMAp,119 SI-MA-LPO-LHA Skor1 Glut,Nhlh2,False,62.84403669724771,3.9363214055332567,3.0272647610175696,4.825528834569372,11,8
BMAp,119 SI-MA-LPO-LHA Skor1 Glut,Alk,False,81.69724770642202,6.304962550172019,2.6855569463523747,4.597764372211014,12,9
